Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating
Homeland Security & Cybersecurity Connection - It's Not About the Terrorists,University of Colorado System,69,Low,College,68,Yes,Intermediate,4.7
Deciphering Secrets: The Illuminated Manuscripts of Medieval Europe,University of Colorado System,52,Low,College,68,Yes,Beginner,4.6
Supporting Parents of a Newborn Baby,University of Colorado System,88,Low,College,66,Yes,Beginner,4.8
Cybersecurity Policy for Aviation and Internet Infrastructures,University of Colorado System,98,Low,Postgraduate,66,Yes,Intermediate,4.7
Identifying Patient Populations,University of Colorado System,86,Medium,High School,73,No,Intermediate,4.1
Linux Server Management and Security,University of Colorado System,60,Medium,High School,69,No,Intermediate,4.5
Introduction to Clinical Data Science,University of Colorado System,71,Low,High School,68,No,Advanced,4.6
"Medical Emergencies: Airway, Breathing, and Circulation",University of Colorado System,99,High,Postgraduate,73,Yes,Intermediate,4.7
Prepare for the EMT Certification Test,University of Colorado System,54,Medium,Postgraduate,67,No,Intermediate,4.3
Basic Cryptography and Programming with Crypto API,University of Colorado System,88,High,High School,70,No,Advanced,4.1
Toledo: Deciphering Secrets of Medieval Spain,University of Colorado System,77,Medium,Postgraduate,70,No,Advanced,4.2
Newborn Capstone,University of Colorado System,96,Low,High School,66,No,Beginner,4.7
SRS Documents: Requirements and Diagrammatic Notations,University of Colorado System,79,Low,Postgraduate,66,No,Advanced,4.2
Relational Database Support for Data Warehouses,University of Colorado System,84,Medium,Postgraduate,70,Yes,Advanced,4.6
Introduction to Cybersecurity for Business,University of Colorado System,63,High,High School,65,Yes,Beginner,4.7
Capstone: Creating A Sustainability Proposal,University of Colorado System,60,Medium,Postgraduate,69,No,Advanced,5
Cloud Computing Security,University of Colorado System,84,Low,High School,65,Yes,Advanced,4.7
Requirements Gathering for Secure Software Development,University of Colorado System,71,Low,College,63,No,Beginner,4.6
The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,92,Medium,High School,67,No,Beginner,4.5
Scandinavian Film and Television,University of Copenhagen,69,Low,College,72,Yes,Intermediate,4.5
"Sï¿½ren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity",University of Copenhagen,91,Medium,Postgraduate,66,Yes,Intermediate,4.8
Non-Communicable Diseases in Humanitarian Settings,University of Copenhagen,69,Low,College,63,Yes,Beginner,4.8
Diabetes ï¿½ the Essential Facts,University of Copenhagen,82,Medium,College,66,Yes,Beginner,4.7
Sustainable Tourism ï¿½ promoting environmental public health,University of Copenhagen,80,Low,High School,67,Yes,Beginner,4.6
Measuring Causal Effects in the Social Sciences,University of Copenhagen,72,High,High School,67,Yes,Intermediate,4
Transformation of the Global Food System,University of Copenhagen,91,Medium,College,67,Yes,Beginner,4.8
"Origins - Formation of the Universe, Solar System, Earth and Life",University of Copenhagen,61,Medium,High School,68,Yes,Intermediate,4.7
An Introduction to Global Health,University of Copenhagen,76,Low,Postgraduate,67,No,Beginner,4.8
Understanding Patient Perspectives on Medications,University of Copenhagen,99,Low,High School,69,Yes,Intermediate,Not Calibrated
Business Models for Innovative Care for Older People,University of Copenhagen,51,Medium,Postgraduate,70,No,Advanced,4.5
Bacteria and Chronic Infections,University of Copenhagen,66,High,College,68,No,Beginner,4.6
After the Arab Spring ï¿½ Democratic Aspirations and State Failure,University of Copenhagen,97,Medium,Postgraduate,65,No,Beginner,4.7
"The Sustainable Development Goals ï¿½ A global, transdisciplinary vision for the future",University of Copenhagen,88,High,High School,67,Yes,Beginner,4.8
Diabetes - a Global Challenge,University of Copenhagen,83,Low,Postgraduate,67,Yes,Intermediate,4.7
Constitutional Struggles in the Muslim World,University of Copenhagen,87,Medium,High School,61,No,Beginner,4.8
Air Pollution ï¿½ a Global Threat to our Health,University of Copenhagen,88,Medium,High School,65,No,Beginner,4.7
COVID-19 - A clinical update,University of Florida,84,Medium,High School,72,No,Beginner,4.7
Sustainable Agricultural Land Management,University of Florida,89,Low,College,66,No,Intermediate,4.7
Healing with the Arts,University of Florida,62,Low,College,65,No,Beginner,4.5
The Meat We Eat,University of Florida,73,Low,High School,69,Yes,Not Calibrated,4.7
Personality Types at Work,University of Florida,85,Low,Postgraduate,64,Yes,Intermediate,4.4
The Horse Course: Introduction to Basic Care and Management,University of Florida,54,High,College,70,No,Beginner,4.9
Science of Training Young Athletes Part 2,University of Florida,87,Low,College,65,No,Intermediate,5
Fixing Healthcare Delivery 2.0: Advanced Lean,University of Florida,69,High,High School,72,No,Advanced,4.6
Power and Sample Size for Multilevel and Longitudinal Study Designs,University of Florida,84,Medium,High School,68,No,Beginner,4.6
Introduction to the Orbital Perspective,University of Florida,86,Medium,High School,71,No,Advanced,4.6
TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices,University of Florida,73,Low,College,69,No,Intermediate,4.1
The Science of Training Young Athletes,University of Florida,62,Medium,High School,63,Yes,Beginner,4.8
Music's Big Bang: The Genesis of Rock 'n' Roll,University of Florida,99,Medium,Postgraduate,66,Yes,Intermediate,4.7
Personal & Family Financial Planning,University of Florida,90,Medium,College,70,Yes,Beginner,4.5
Global Health: An Interdisciplinary Overview,University of Geneva,70,Medium,High School,64,No,Beginner,4.6
Precision Medicine,University of Geneva,63,Low,High School,63,No,Advanced,Not Calibrated
"Global Health Security, Solidarity and Sustainability through the International Health Regulations",University of Geneva,72,Low,Postgraduate,73,Yes,Advanced,4.8
Meeting Investors' Goals,University of Geneva,90,Low,Postgraduate,66,Yes,Intermediate,4.7
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,54,Low,Postgraduate,72,Yes,Beginner,4.7
Global Statistics - Composite Indices for International Comparisons,University of Geneva,77,Medium,Postgraduate,74,Yes,Intermediate,4.7
Humanitarian communication : Addressing key challenges,University of Geneva,71,High,Postgraduate,69,No,Advanced,4.5
Disease Screening in Public Health,University of Geneva,87,Low,High School,69,Yes,Intermediate,4.2
Portfolio and Risk Management,University of Geneva,64,High,High School,65,Yes,Beginner,4.7
International Water Law,University of Geneva,53,High,Postgraduate,69,No,Beginner,4.6
Ecosystem Services: a Method for Sustainable Development,University of Geneva,51,Medium,High School,65,Yes,Intermediate,4.7
Securing Investment Returns in the Long Run,University of Geneva,77,Low,High School,66,No,Intermediate,4.7
Understanding Financial Markets,University of Geneva,94,High,College,71,No,Beginner,4.7
Global Health at the Human-Animal-Ecosystem Interface,University of Geneva,94,Medium,College,76,Yes,Advanced,4.5
"Drugs, drug use, drug policy and health",University of Geneva,75,Medium,College,67,No,Intermediate,4.7
Water Resources Management and Policy,University of Geneva,94,High,Postgraduate,72,Yes,Intermediate,4.6
Classical papers in molecular genetics,University of Geneva,71,Low,College,67,Yes,Not Calibrated,4.7
Particle Physics: an Introduction,University of Geneva,77,Medium,High School,64,No,Intermediate,4.1
Violence Against Healthcare,University of Geneva,65,Medium,College,68,Yes,Intermediate,4.4
Chemical Biology,University of Geneva,88,Medium,High School,69,Yes,Intermediate,5
Climate Change and Water in Mountains: A Global Concern,University of Geneva,96,Medium,Postgraduate,65,Yes,Intermediate,4.6
International Organizations Management,University of Geneva,63,Medium,Postgraduate,65,No,Intermediate,4.8
Simulation and modeling of natural processes,University of Geneva,96,Low,College,74,No,Advanced,3.7
Planning your Client's Wealth over a 5-year Horizon,University of Geneva,57,Low,College,67,Yes,Intermediate,4.4
Biomedical Visualisation,University of Glasgow,51,Low,High School,62,Yes,Beginner,4.7
American Deaf Culture,University of Houston,52,Low,High School,67,No,Beginner,4.5
COVID-19 Contact Tracing For Nursing Professionals,University of Houston,91,Low,College,67,No,Beginner,4.4
The Bilingual Brain,University of Houston,64,Low,College,67,Yes,Beginner,4.6
Powerful Tools for Teaching and Learning: Web 2.0 Tools,University of Houston,93,High,Postgraduate,72,Yes,Conversant,4.5
Math behind Moneyball,University of Houston,63,High,High School,68,Yes,Advanced,4.2
Powerful Tools for Teaching and Learning: Digital Storytelling,University of Houston,92,High,College,69,No,Advanced,4.6
A Brief History of Human Spaceflight,University of Houston,96,Medium,High School,68,No,Beginner,4.2
Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston,83,Medium,Postgraduate,68,Yes,Beginner,4.8
Global Strategy I: How The Global Economy Works,University of Illinois at Urbana-Champaign,52,Medium,College,65,Yes,Advanced,4.8
Global Challenges in Business Capstone,University of Illinois at Urbana-Champaign,96,Medium,High School,67,No,Advanced,4.5
Entrepreneurship II: Preparing for Launch,University of Illinois at Urbana-Champaign,72,Medium,College,64,No,Advanced,4.8
Marketing in a Digital World,University of Illinois at Urbana-Champaign,99,Low,High School,61,No,Conversant,4.6
Modern American Poetry,University of Illinois at Urbana-Champaign,82,Low,Postgraduate,71,Yes,Intermediate,4.1
Subsistence Marketplaces,University of Illinois at Urbana-Champaign,71,Medium,High School,66,Yes,Advanced,4.5
Data Analytics Foundations for Accountancy I,University of Illinois at Urbana-Champaign,57,Low,College,64,Yes,Advanced,3.6
Taxation of Business Entities II: Pass-Through Entities,University of Illinois at Urbana-Champaign,72,Medium,Postgraduate,71,No,Advanced,4.7
Genomics for Law,University of Illinois at Urbana-Champaign,66,Low,College,67,Yes,Intermediate,4.8
Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,69,Medium,High School,67,Yes,Beginner,4.4
Professional Responsibility and Ethics for Accountants,University of Illinois at Urbana-Champaign,82,Low,College,67,Yes,Advanced,4.8
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,82,Medium,High School,65,Yes,Advanced,4.8
3D Printing Software,University of Illinois at Urbana-Champaign,69,Medium,College,66,Yes,Advanced,4.6
Predictive Analytics and Data Mining,University of Illinois at Urbana-Champaign,77,Medium,High School,70,No,Advanced,4.1
Corporate Finance I: Measuring and Promoting Value Creation,University of Illinois at Urbana-Champaign,65,Medium,College,66,Yes,Advanced,4.8
Digital Marketing Capstone,University of Illinois at Urbana-Champaign,97,Medium,College,74,Yes,Advanced,4.3
Digital Media and Marketing Principles,University of Illinois at Urbana-Champaign,52,Medium,College,68,Yes,Advanced,4.2
"Literacy Teaching and Learning: Aims, Approaches and Pedagogies",University of Illinois at Urbana-Champaign,83,Low,High School,63,Yes,Advanced,4.3
3D Printing Applications,University of Illinois at Urbana-Champaign,98,Low,College,67,Yes,Intermediate,4.5
Accounting Analysis I: The Role of Accounting as an Information System,University of Illinois at Urbana-Champaign,70,Low,College,68,Yes,Intermediate,4.9
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,82,Low,High School,70,Yes,Beginner,4.5
"Country Level Economics: Policies, Institutions, and Macroeconomic Performance",University of Illinois at Urbana-Champaign,88,Low,Postgraduate,65,No,Advanced,4.3
Infonomics II: Business Information Management and Measurement,University of Illinois at Urbana-Champaign,65,Low,High School,65,No,Advanced,4.8
Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,87,Medium,High School,67,Yes,Beginner,4.7
Cloud Computing Project,University of Illinois at Urbana-Champaign,96,Medium,High School,73,Yes,Advanced,2.8
Global Impact: Cultural Psychology,University of Illinois at Urbana-Champaign,88,Low,College,67,Yes,Intermediate,4.7
Managing Supply Chain Disruption During COVID-19,University of Illinois at Urbana-Champaign,59,Low,High School,72,Yes,Intermediate,4.7
Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,67,Low,High School,59,No,Intermediate,4.6
Accounting for Business Decision Making: Measurement and Operational Decisions,University of Illinois at Urbana-Champaign,76,High,College,64,Yes,Advanced,3.6
Financial Reporting Capstone,University of Illinois at Urbana-Champaign,50,Low,College,67,No,Advanced,4.5
Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,83,Medium,College,67,No,Advanced,4.4
Assessment for Learning,University of Illinois at Urbana-Champaign,84,Medium,College,67,Yes,Beginner,4.5
3D Printing Hardware,University of Illinois at Urbana-Champaign,80,Low,Postgraduate,64,No,Advanced,3.9
Cloud Networking,University of Illinois at Urbana-Champaign,85,Medium,College,71,No,Advanced,4.4
Multimodal Literacies: Communication and Learning in the Era of Digital Media,University of Illinois at Urbana-Champaign,71,Low,High School,71,Yes,Beginner,4.8
Genomics: Decoding the Universal Language of Life,University of Illinois at Urbana-Champaign,57,Medium,High School,65,Yes,Intermediate,4.7
Firm Level Economics: Markets and Allocations,University of Illinois at Urbana-Champaign,55,Low,College,64,Yes,Beginner,4.8
Cloud Computing Concepts: Part 2,University of Illinois at Urbana-Champaign,86,Low,College,62,Yes,Advanced,4.6
Accounting for Business Decision Making: Strategy Assessment and Control,University of Illinois at Urbana-Champaign,60,Low,High School,63,No,Advanced,3.4
Managing the Organization,University of Illinois at Urbana-Champaign,85,High,High School,69,No,Advanced,4.6
"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure",University of Illinois at Urbana-Champaign,88,Low,College,72,Yes,Advanced,4.1
Cluster Analysis in Data Mining,University of Illinois at Urbana-Champaign,63,Low,High School,69,Yes,Advanced,4.3
Financial Accounting: Foundations,University of Illinois at Urbana-Champaign,76,Low,High School,67,No,Intermediate,4.7
Investments I: Fundamentals of Performance Evaluation,University of Illinois at Urbana-Champaign,76,High,Postgraduate,71,No,Advanced,4.7
Data Visualization,University of Illinois at Urbana-Champaign,62,Medium,High School,63,No,Beginner,4.4
Marketing in an Analog World,University of Illinois at Urbana-Champaign,59,Medium,Postgraduate,64,Yes,Intermediate,4.7
Strategic Innovation: Building and Sustaining Innovative Organizations,University of Illinois at Urbana-Champaign,75,Medium,College,72,No,Advanced,4.8
Financial Accounting: Advanced Topics,University of Illinois at Urbana-Champaign,92,Medium,High School,67,No,Intermediate,4.7
Lactation Biology,University of Illinois at Urbana-Champaign,76,Low,High School,67,Yes,Intermediate,4.9
Ubiquitous Learning and Instructional Technologies,University of Illinois at Urbana-Champaign,70,High,Postgraduate,64,No,Intermediate,3.9
Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements,University of Illinois at Urbana-Champaign,93,Medium,High School,67,Yes,Advanced,4.8
Microeconomics Principles,University of Illinois at Urbana-Champaign,91,Low,College,64,Yes,Beginner,4.8
"Learning, Knowledge, and Human Development",University of Illinois at Urbana-Champaign,99,Low,College,74,No,Intermediate,4.4
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,71,Medium,College,74,No,Intermediate,4.8
Ordered Data Structures,University of Illinois at Urbana-Champaign,71,Low,Postgraduate,64,Yes,Intermediate,4.7
Introduction to Sustainability,University of Illinois at Urbana-Champaign,97,Low,College,73,Yes,Intermediate,4.7
Operations Management: Strategy and Quality Management for the Digital Age,University of Illinois at Urbana-Champaign,66,Medium,College,62,No,Beginner,4.6
Marketing Management I,University of Illinois at Urbana-Champaign,58,Low,High School,61,Yes,Advanced,4.8
Sustainable Food Production Through Livestock Health Management,University of Illinois at Urbana-Champaign,75,Medium,Postgraduate,68,Yes,Intermediate,4.8
Data Analytics Foundations for Accountancy II,University of Illinois at Urbana-Champaign,63,Medium,College,61,Yes,Advanced,4.9
Exploring and Producing Data for Business Decision Making,University of Illinois at Urbana-Champaign,66,Medium,College,69,Yes,Beginner,4.8
Global Strategy II: Doing Business in The Global Economy,University of Illinois at Urbana-Champaign,76,Low,College,66,No,Advanced,4.9
Fundamentals of Accounting Capstone,University of Illinois at Urbana-Champaign,59,Low,College,68,Yes,Advanced,4.3
Entrepreneurship I: Laying the Foundation,University of Illinois at Urbana-Champaign,91,Low,High School,67,No,Advanced,4.8
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,61,Medium,High School,68,Yes,Conversant,4.5
Negotiating Learner Differences: Towards Productive Diversity in Learning,University of Illinois at Urbana-Champaign,62,Medium,High School,61,No,Advanced,4.5
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,89,Low,Postgraduate,66,No,Advanced,4.6
Understanding Financial Statements: Company Performance,University of Illinois at Urbana-Champaign,77,Medium,Postgraduate,69,Yes,Beginner,4.7
Sustainable Innovation for Subsistence Marketplaces,University of Illinois at Urbana-Champaign,60,Low,Postgraduate,68,No,Advanced,4.2
Accounting Analysis I: Measurement and Disclosure of Assets,University of Illinois at Urbana-Champaign,94,Medium,College,68,Yes,Advanced,4.8
Business Strategy,University of Illinois at Urbana-Champaign,58,Medium,College,63,Yes,Intermediate,4.8
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,56,Low,Postgraduate,70,No,Intermediate,3.4
Formal Financial Accounting,University of Illinois at Urbana-Champaign,84,High,High School,66,Yes,Intermediate,4.7
Inferential and Predictive Statistics for Business,University of Illinois at Urbana-Champaign,95,Low,College,63,Yes,Beginner,4.8
Introduction to Finance: The Basics,University of Illinois at Urbana-Champaign,66,High,College,69,Yes,Advanced,4.6
3D Printing Capstone,University of Illinois at Urbana-Champaign,53,Medium,Postgraduate,71,Yes,Intermediate,4.2
3D Data Visualization for Science Communication,University of Illinois at Urbana-Champaign,50,Medium,High School,62,Yes,Advanced,4.3
Visualization for Data Journalism,University of Illinois at Urbana-Champaign,61,Medium,High School,65,Yes,Advanced,4.9
Strategic Innovation: Managing Innovation Initiatives,University of Illinois at Urbana-Champaign,89,Medium,College,69,No,Advanced,4.7
VLSI CAD Part II: Layout,University of Illinois at Urbana-Champaign,78,Low,High School,70,No,Intermediate,4.7
Accounting Analysis II: Measurement and Disclosure of Liabilities,University of Illinois at Urbana-Champaign,78,Medium,High School,68,Yes,Advanced,4.7
Country Level Economics: Macroeconomic Variables and Markets,University of Illinois at Urbana-Champaign,70,Low,College,62,No,Advanced,4
Learning Technologies Foundations and Applications,University of Illinois at Urbana-Champaign,99,Low,Postgraduate,70,Yes,Intermediate,4.6
"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",University of Illinois at Urbana-Champaign,53,High,Postgraduate,69,Yes,Beginner,4.3
Marketing Management II,University of Illinois at Urbana-Champaign,94,Low,High School,67,Yes,Advanced,4.8
Applying Data Analytics in Finance,University of Illinois at Urbana-Champaign,86,Low,High School,69,Yes,Advanced,4.4
Creativity Toolkit I: Changing Perspectives,University of Illinois at Urbana-Champaign,97,Medium,College,68,Yes,Advanced,4.7
Corporate Strategy,University of Illinois at Urbana-Champaign,78,High,High School,71,Yes,Advanced,4.7
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,81,Medium,High School,68,Yes,Conversant,4.8
"Corporate & Commercial Law II: Business Forms, Financing & Governmental Regulation",University of Illinois at Urbana-Champaign,86,Low,High School,64,No,Intermediate,4.8
Auditing II: The Practice of Auditing,University of Illinois at Urbana-Champaign,96,Medium,High School,70,No,Intermediate,4.7
Innovation: From Creativity to Entrepreneurship Capstone,University of Illinois at Urbana-Champaign,63,Low,Postgraduate,70,No,Advanced,4.4
Managerial Economics and Business Analysis Capstone,University of Illinois at Urbana-Champaign,51,Low,College,66,No,Conversant,4.6
Strategic Leadership and Management Capstone,University of Illinois at Urbana-Champaign,65,Low,College,67,Yes,Advanced,4.7
Data Mining Project,University of Illinois at Urbana-Champaign,95,Medium,College,68,Yes,Advanced,4.1
New Learning: Principles and Patterns of Pedagogy,University of Illinois at Urbana-Champaign,98,Low,College,65,Yes,Intermediate,4.6
Designing the Organization,University of Illinois at Urbana-Champaign,63,Medium,Postgraduate,62,No,Intermediate,4.6
"Energy, Environment, and Everyday Life",University of Illinois at Urbana-Champaign,83,Low,High School,69,Yes,Beginner,4.7
Accounting Analysis II: Accounting for Liabilities and Equity,University of Illinois at Urbana-Champaign,51,High,College,65,Yes,Advanced,4.6
Pattern Discovery in Data Mining,University of Illinois at Urbana-Champaign,68,Medium,High School,66,No,Intermediate,4.1
Text Mining and Analytics,University of Illinois at Urbana-Champaign,53,Medium,High School,68,No,Beginner,4.2
"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors",University of Illinois at Urbana-Champaign,96,Medium,High School,72,No,Advanced,4.8
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",University of Illinois at Urbana-Champaign,86,High,College,70,No,Intermediate,4.7
"Constructivism and Mathematics, Science, and Technology Education",University of Illinois at Urbana-Champaign,87,Low,Postgraduate,69,Yes,Beginner,4.9
An Introduction to Accessibility and Inclusive Design,University of Illinois at Urbana-Champaign,80,Low,High School,70,Yes,Beginner,4.8
Infonomics I: Business Information Economics and Data Monetization,University of Illinois at Urbana-Champaign,77,High,High School,70,No,Intermediate,4.7
Machine Learning for Accounting with Python,University of Illinois at Urbana-Champaign,53,Medium,College,67,No,Advanced,4.5
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,86,High,High School,68,Yes,Advanced,3.6
Applications of Everyday Leadership,University of Illinois at Urbana-Champaign,66,Medium,High School,66,Yes,Beginner,4.8
Business Analytics Executive Overview,University of Illinois at Urbana-Champaign,54,Low,College,65,Yes,Beginner,4.5
Applying Data Analytics in Marketing,University of Illinois at Urbana-Champaign,61,Medium,High School,65,No,Advanced,4.4
Sustainable Business Enterprises,University of Illinois at Urbana-Champaign,79,Medium,High School,67,Yes,Advanced,4.3
The 3D Printing Revolution,University of Illinois at Urbana-Champaign,67,Medium,High School,67,No,Beginner,4.7
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,95,Medium,High School,66,Yes,Intermediate,4.7
Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,98,Medium,Postgraduate,73,Yes,Intermediate,4.5
Unordered Data Structures,University of Illinois at Urbana-Champaign,73,Medium,College,63,Yes,Advanced,4.7
Corporate Finance II: Financing Investments and Managing Risk,University of Illinois at Urbana-Champaign,93,Medium,Postgraduate,69,Yes,Advanced,4.8
Investments II: Lessons and Applications for Investors,University of Illinois at Urbana-Champaign,62,High,College,69,Yes,Intermediate,4.8
Firm Level Economics: Consumer and Producer Behavior,University of Illinois at Urbana-Champaign,60,Low,College,64,Yes,Advanced,4.8
Managerial Accounting: Tools for Facilitating and Guiding Business Decisions,University of Illinois at Urbana-Champaign,73,High,High School,59,No,Advanced,4.7
Federal Taxation II: Property Transactions of Business Owners and Shareholders,University of Illinois at Urbana-Champaign,60,Low,High School,66,No,Advanced,4.8
Creativity Toolkit II: Creative Collaboration,University of Illinois at Urbana-Champaign,79,Medium,High School,67,No,Advanced,4.8
Planet Earth...and You!,University of Illinois at Urbana-Champaign,69,Medium,College,68,No,Intermediate,4.9
Introduction to Finance: The Role of Financial Markets,University of Illinois at Urbana-Champaign,70,Medium,College,69,Yes,Advanced,Not Calibrated
Global Impact: Business Ethics,University of Illinois at Urbana-Champaign,60,Medium,College,70,Yes,Intermediate,4.7
Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,71,Low,College,60,No,Conversant,4.5
Emergence of Life,University of Illinois at Urbana-Champaign,99,Medium,Postgraduate,69,Yes,Beginner,4.1
Introduction to Business Analytics with R,University of Illinois at Urbana-Champaign,94,Low,High School,66,Yes,Advanced,4.4
"Cloud Computing Concepts, Part 1",University of Illinois at Urbana-Champaign,78,Medium,Postgraduate,60,No,Advanced,4.3
Financial Management Capstone,University of Illinois at Urbana-Champaign,75,Medium,High School,67,Yes,Advanced,4.7
Value Chain Management Capstone,University of Illinois at Urbana-Champaign,75,High,College,68,No,Advanced,4.7
Data Analytics in Accounting Capstone,University of Illinois at Urbana-Champaign,87,Low,High School,70,No,Advanced,Not Calibrated
Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign,73,Low,High School,61,No,Intermediate,4.4
"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,66,High,Postgraduate,68,Yes,Intermediate,4.9
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,77,Low,College,64,Yes,Intermediate,4.2
Operations Management: Analysis and Improvement Methods,University of Illinois at Urbana-Champaign,53,Low,High School,71,Yes,Advanced,4.5
Taxation of Business Entities I: Corporations,University of Illinois at Urbana-Champaign,92,High,High School,67,No,Advanced,4.7
Data Modeling and Regression Analysis in Business,University of Illinois at Urbana-Champaign,88,Medium,High School,64,No,Advanced,4.3
Chemistry,University of Kentucky,98,Medium,High School,66,No,Not Calibrated,4.7
Advanced Chemistry,University of Kentucky,67,High,High School,69,Yes,Not Calibrated,4.7
"Doping : Sports, Organizations and Sciences",University of Lausanne,84,Medium,High School,70,Yes,Beginner,4.6
Unethical Decision Making in Organizations,University of Lausanne,57,Low,High School,65,Yes,Intermediate,4.8
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,59,Medium,Postgraduate,68,No,Beginner,4.9
Major Engineering Project Performance,University of Leeds,75,Medium,High School,69,No,Beginner,4.7
Financing and Initiating Major Engineering Projects,University of Leeds,55,Medium,High School,71,Yes,Beginner,4.7
"Major Engineering Projects: Governance, Risk and Scope",University of Leeds,97,Medium,College,70,No,Beginner,4.7
Magna Carta and its Legacies: Freedom and protest,University of London,88,Low,College,65,Yes,Intermediate,4.4
Web Application Development with JavaScript and MongoDB,University of London,52,High,High School,69,Yes,Advanced,4.5
"Brand Management: Aligning Business, Brand and Behaviour",University of London,66,High,High School,59,Yes,Intermediate,4.9
"Responsive Website Basics: Code with HTML, CSS, and JavaScript",University of London,99,Medium,Postgraduate,67,Yes,Intermediate,4.5
Introduction to English Common Law,University of London,68,Low,College,68,Yes,Intermediate,4.8
How Computers Work,University of London,74,Low,High School,66,Yes,Beginner,4.5
Introduction to Who Wrote Shakespeare,University of London,78,Medium,High School,70,Yes,Beginner,4.3
Responsive Website Tutorial and Examples,University of London,51,Low,College,67,Yes,Advanced,4.3
Statistics for International Business,University of London,69,Low,College,67,Yes,Advanced,3.5
Get Interactive: Practical Teaching with Technology,University of London,84,Low,High School,64,Yes,Advanced,4.7
Global Diplomacy: the United Nations in the World,University of London,64,High,Postgraduate,67,Yes,Intermediate,4.7
How to Finance and Grow Your Startup ï¿½ Without VC,University of London,98,Low,High School,66,Yes,Advanced,4.6
Refugees in the 21st Century,University of London,90,Medium,College,68,Yes,Beginner,4.8
International Business Environment,University of London,74,Medium,High School,66,Yes,Advanced,4.7
Responsive Web Design,University of London,82,Medium,Postgraduate,71,No,Advanced,4.5
Quantitative Foundations for International Business,University of London,64,Low,Postgraduate,68,Yes,Intermediate,3.5
Teaching EFL/ESL Reading: A Task Based Approach,University of London,83,High,High School,67,Yes,Advanced,4.6
Creative Programming for Digital Media & Mobile Apps,University of London,66,Medium,College,70,Yes,Advanced,3.6
Making Your First Virtual Reality Game,University of London,73,High,Postgraduate,74,Yes,Advanced,4.4
Probability and Statistics: To p or not to p?,University of London,54,Low,Postgraduate,65,No,Beginner,4.6
Building Interactive 3D Characters and Social VR,University of London,73,High,College,66,Yes,Advanced,4.2
"Applied Public History: Places, People, Stories",University of London,79,Low,High School,62,Yes,Conversant,5
3D Models for Virtual Reality,University of London,53,Low,High School,61,Yes,Advanced,4.6
Information Security: Context and Introduction,University of London,82,Low,High School,62,Yes,Beginner,4.6
Managing the Company of the Future,University of London,63,High,High School,71,Yes,Beginner,4.8
Keeping up with Change: Issues for the Finance Professional,University of London,57,Low,College,65,Yes,Intermediate,4.7
ICT in Primary Education: Transforming children's learning across the curriculum,University of London,89,Low,College,73,Yes,Intermediate,4.6
Understanding Research Methods,University of London,69,High,High School,66,Yes,Beginner,4.5
Introduction to Computer Programming,University of London,55,Medium,High School,62,Yes,Advanced,4.1
The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,55,High,High School,71,No,Beginner,4.6
Global Diplomacy ï¿½ Diplomacy in the Modern World,University of London,93,Low,High School,68,Yes,Beginner,4.6
Malicious Software and its Underground Economy: Two Sides to Every Story,University of London,80,Medium,High School,65,Yes,Not Calibrated,4.4
3D Interaction Design in Virtual Reality,University of London,53,Low,College,65,Yes,Advanced,4.5
Introduction to Meteor.js Development,University of London,84,High,High School,73,Yes,Advanced,4.6
What future for education?,University of London,99,Low,College,63,No,Intermediate,4.7
